Date,Opp,Score,MIN,PTS,TRB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB
"5/12/19","POR","L 96-100",41,29,13,2,0,4,2,3,11,26,"42.3%",2,6,"33.3%",5,7,"71.4%",4,9
"5/9/19","POR","L 108-119",36,29,12,8,0,0,4,6,10,15,"66.7%",2,3,"66.7%",7,8,"87.5%",2,10
"5/7/19","POR","W 124-98",34,25,19,6,0,0,3,6,10,18,"55.6%",0,3,"0%",5,6,"83.3%",6,13
"5/5/19","POR","W 116-112",38,21,12,11,2,0,3,4,8,15,"53.3%",1,1,"100%",4,4,"100%",6,6
"5/3/19","POR","L 137-140",64,33,18,14,1,2,8,4,13,25,"52%",4,7,"57.1%",3,5,"60%",4,14
"5/1/19","POR","L 90-97",37,16,14,7,1,0,2,5,7,17,"41.2%",0,1,"0%",2,4,"50%",4,10
"4/29/19","POR","W 121-113",41,37,9,6,3,2,2,3,11,18,"61.1%",3,5,"60%",12,12,"100%",2,7
"4/27/19","SA","W 90-86",43,21,15,10,1,3,0,5,9,26,"34.6%",0,4,"0%",3,4,"75%",5,10
"4/25/19","SA","L 103-120",38,43,12,9,2,1,2,2,19,30,"63.3%",2,6,"33.3%",3,4,"75%",6,6
"4/23/19","SA","W 108-90",32,16,11,8,2,1,3,3,5,11,"45.5%",2,4,"50%",4,4,"100%",2,9
"4/20/19","SA","W 117-103",38,29,12,8,0,0,0,3,10,22,"45.5%",1,4,"25%",8,8,"100%",5,7
"4/18/19","SA","L 108-118",32,22,8,7,0,0,1,3,8,14,"57.1%",3,6,"50%",3,4,"75%",2,6
"4/16/19","SA","W 114-105",39,21,13,8,2,0,3,4,7,15,"46.7%",2,3,"66.7%",5,6,"83.3%",3,10
"4/13/19","SA","L 96-101",36,10,14,14,1,0,3,3,4,9,"44.4%",0,3,"0%",2,2,"100%",3,11
"4/10/19","MIN","W 99-95",36,29,14,2,3,0,4,4,13,26,"50%",1,7,"14.3%",2,2,"100%",3,11
"4/9/19","UTA","L 108-118",16,2,5,2,1,1,1,6,1,6,"16.7%",0,0,"0%",0,2,"0%",2,3
"4/5/19","POR","W 119-110",36,22,13,9,2,1,2,3,9,15,"60%",1,4,"25%",3,4,"75%",3,10
"4/3/19","SA","W 113-85",28,20,11,9,0,0,5,3,9,10,"90%",0,1,"0%",2,3,"66.7%",0,11
"4/2/19","GS","L 102-116",27,10,5,5,4,0,6,1,4,10,"40%",0,3,"0%",2,3,"66.7%",2,3
"3/31/19","WAS","L 90-95",30,23,14,4,2,1,2,3,11,15,"73.3%",0,2,"0%",1,3,"33.3%",2,12
"3/29/19","OKC","W 115-105",34,23,16,3,1,0,2,3,10,16,"62.5%",1,3,"33.3%",2,2,"100%",2,14
"3/28/19","HOU","L 85-112",24,16,8,6,0,2,2,3,7,14,"50%",0,0,"0%",2,2,"100%",3,5
"3/26/19","DET","W 95-92",33,23,15,2,0,0,3,3,10,24,"41.7%",0,5,"0%",3,5,"60%",3,12
"3/24/19","IND","L 88-124",29,19,11,8,1,4,1,2,8,16,"50%",1,3,"33.3%",2,2,"100%",3,8
"3/22/19","NY","W 111-93",28,21,17,5,0,0,1,3,8,20,"40%",1,3,"33.3%",4,6,"66.7%",4,13
"3/21/19","WAS","W 113-108",34,15,6,11,0,0,1,1,6,12,"50%",2,4,"50%",1,1,"100%",3,3
